# This file is generated by BATL version 2.05.2
# Date of generation (YYYY-MM-DD): 2020-11-21
# Time in seconds to complete model building and cross validation: 637.562698602676
# Argument list:
# folds <- 262
# features <- c(Retention.Time, Area, Height, Width.at.50%, Tailing.Factor, Asymmetry.Factor, Relative.RT, Subtracted.RT)
# logged features <- c(FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, FALSE)
# exhaustive <- FALSE
# decision <- c(MWBM)
# tolerance <- 0
# parallel_cores <- 3
# full_output <- TRUE
# pseudocount <- 0
# Filename information
# 20190227_NRL panel A SL Stds_SL sMRM survey data_HX_JC_S1P_20200824 GT.xlsx
# 20190228_NRL panel A SL Stds_SL sMRM_more diluted stds_survey data_HX_JC_S1P_20200824 GT.xlsx
# 20200616_NRL001 24hr_NRL002_300 uL Eth test extracttion_IDA-EPI-MRM_IA_ManualSB_2020_07_14SBv7_20200824.xlsx
# 20200709_COVID19 Lipophenomics_Baseline_SL_SB2020_07_31GT_20200824.xlsx
# PRV-PD101 SPH Plasma Parcel 1 20200731 GT barcode20200824 GT.xlsx
# 20200909_COVID19 Lipophenomics_SL_Longitudinal modv9 20200915_JC_v10.txt
# PRV-PD101 SPH CSF Parcel 1 20200814 GTb barcoded 20200818 modv8.SBBarcode_JC_v10.txt
# SHEBA PRV-GD2-101 SPH Plasma and CSF Parcel 1 20200915 GT modv9 20200915SB20201120bFORLIBRARY_JC_v10.txt
# Training set information
# Total number of samples: 276
# Total number of peaks: 30973
# Total number of unique transitions: 126
Q1	Q3	Barcode	Prior	Retention.Time_mean	Retention.Time_variance	Area_mean	Area_variance	Height_mean	Height_variance	Width.at.50%_mean	Width.at.50%_variance	Tailing.Factor_mean	Tailing.Factor_variance	Asymmetry.Factor_mean	Asymmetry.Factor_variance	Relative.RT_mean	Relative.RT_variance	Subtracted.RT_mean	Subtracted.RT_variance	Posterior_cutoff
286.3	250.3	SPH000459	0.0688405797101449	11.5557684984211	0.00406966184310316	-4.40927697288418	1.28600456171622	-3.68821316102759	1.93444886245775	0.175830264210526	0.0024338778358498	0.371212035775247	0.0577520162034125	0.47535975687312	0.107410465213322	0.683260378157895	6.42547420788177e-05	94.6403111110526	0.0460957734317792	0.000121446520783024
286.3	268.3	SPH000461	0.91304347826087	11.617968065	0.00965914974468281	-1.83304910670663	0.654246184836601	-2.05244003675476	0.773049711267324	0.337302068880952	0.0115412034648268	-0.0894608510073487	0.0497092731155405	-0.237607290028777	0.193866540781324	0.67008752622796	0.000173256480008809	94.2750050604365	0.0982808147769846	2.21034299212755e-10
288.3	252.3	SPH000460	0.0652173913043478	11.6579846527778	0.00598166310950334	-3.67376102312418	2.50343748595678	-2.57320053292045	2.61112370724621	0.114495604888889	0.000643986188970655	0.288122844096018	0.0605554423183433	0.0405035639014975	0.103642342181831	0.689084540388889	6.92692185371398e-05	94.7370958727778	0.0475586881058919	1.53943454279845e-05
288.3	270.3	SPH000462	0.77536231884058	11.7189795188785	0.014371433677333	-1.99002423883202	0.400993939272839	-2.36651743381732	0.649614631081468	0.411234566378505	0.01589944178553	-0.0905727064594839	0.0410162004632493	-0.271421702080143	0.183756718401607	0.675898931114991	0.000196091084488998	94.3752158892991	0.109159334017214	2.79825570717635e-12
300.3	282.2	SPH000003	0.909420289855073	12.2242305751793	0.00996818016867756	-0.765200602050797	0.41452992555506	-0.441730349912249	0.847336771847946	0.253507137545817	0.0421553953374534	-0.0705839144776028	0.0515198001305589	-0.230123601267388	0.250869280240648	0.704839661167022	0.000165942276743565	94.8765326154582	0.088212784614389	1.32734333724539e-21
300.3	282.2	SPH000358	0.253623188405797	12.8472813467143	0.014478781419686	-0.224759762767173	0.225646464212283	0.630021825219524	0.253062607312136	0.131345059085714	0.000946875206725299	0.0175505030438008	0.0284122083676996	0.00356310056659516	0.0642330288109675	0.744408220178793	3.36090314897419e-05	95.587710019	0.0203956518739649	1.32734333724539e-21
342.3	264.3	SPH000436	0.0869565217391304	12.16649642875	0.00331654461085407	-2.70259634660632	5.95403222434438	-1.59623294663522	6.48281735769056	0.109055378958333	0.000185436436145923	0.351079438372986	0.0573892771650015	0.248742982359755	0.0800283875279039	0.719510852166667	5.92559161406623e-05	95.25478043625	0.0373217936905707	0.000599593924990521
366.3	250.3	SPH000437	0.706521739130435	11.9782258422564	0.016915066719323	-2.74304673457946	0.37944876060251	-2.13253128541561	0.446358622502	0.14705924014359	0.00132164125035051	0.173564443640753	0.127044603324587	0.250315298388987	0.300481028203101	0.694503800018089	9.12877828611707e-05	94.7293764721538	0.0411129658408778	1.7340767400504e-20
368.3	252.3	SPH000438	0.152173913043478	14.5396517664286	1.77323060932442	-5.16320005418809	1.20713698443978	-4.60434606583194	1.05493344752528	0.175064324880952	0.00255412889971123	0.106957284745412	0.182322680782198	0.136060120212612	0.484810930615624	0.831184166254894	0.00460127140554062	97.0597786161905	1.29098541200399	9.15195571867714e-13
370.3	264.3	SPH000439	0.0869565217391304	12.4587087225	0.00362259759596822	-2.9301079416551	5.81288213428302	-1.88067237739912	6.59457304969	0.116068126666667	0.000265751517988637	0.27914985445027	0.0323470707227145	0.224471047638806	0.112990431421281	0.736789001833333	5.80884414329931e-05	95.5469927279167	0.0354236594646342	0.0060535411484402
